schoolid,teacherid,collegeid,guanxi
5001,1,4004,所属
5001,2,4004,所属
5001,3,4004,所属
5001,4,4004,所属
5001,5,4004,所属
5001,6,4004,所属
5001,7,4004,所属
5001,8,4004,所属
5001,9,4004,所属
5001,10,4004,所属
5001,11,4004,所属
5001,12,4004,所属
5001,13,4004,所属
5001,14,4004,所属
5001,15,4004,所属
5001,16,4004,所属
5001,17,4004,所属
5001,18,4010,所属
5001,19,4004,所属
5001,20,4004,所属
5001,21,4004,所属
5001,22,4004,所属
5001,23,4004,所属
5001,24,4004,所属
5001,25,4004,所属
5001,26,4004,所属
5001,27,4004,所属
5001,28,4004,所属
5001,29,4004,所属
5001,30,4004,所属
5001,31,4004,所属
5001,32,4004,所属
5001,33,4004,所属
5001,34,4004,所属
5001,35,4004,所属
5001,36,4004,所属
5001,37,4004,所属
5001,38,4005,所属
5001,39,4004,所属
5001,40,4004,所属
5001,41,4004,所属
5001,42,4004,所属
5001,43,4004,所属
5001,44,4004,所属
5001,45,4004,所属
5001,46,4004,所属
5001,47,4004,所属
5001,48,4004,所属
5001,49,4004,所属
5001,50,4004,所属
5001,51,4004,所属
5001,52,4001,所属
5001,53,4006,所属
5001,54,4001,所属
5001,55,4001,所属
5001,56,4001,所属
5001,57,4001,所属
5001,58,4001,所属
5001,59,4001,所属
5001,60,4001,所属
5001,61,4001,所属
5001,62,4001,所属
5001,63,4001,所属
5001,64,4001,所属
5001,65,4001,所属
5001,66,4001,所属
5001,67,4001,所属
5001,68,4001,所属
5001,69,4001,所属
5001,70,4001,所属
5001,71,4001,所属
5001,72,4001,所属
5001,73,4001,所属
5001,74,4001,所属
5001,75,4001,所属
5001,76,4001,所属
5001,77,4001,所属
5001,78,4001,所属
5001,79,4001,所属
5001,80,4001,所属
5001,81,4001,所属
5001,82,4001,所属
5001,83,4001,所属
5001,84,4001,所属
5001,85,4001,所属
5001,86,4001,所属
5001,87,4001,所属
5001,88,4001,所属
5001,89,4001,所属
5001,90,4001,所属
5001,91,4001,所属
5001,92,4001,所属
5001,93,4001,所属
5001,94,4001,所属
5001,95,4001,所属
5001,96,4001,所属
5001,97,4001,所属
5001,98,4001,所属
5001,99,4001,所属
5001,100,4001,所属
5001,101,4001,所属
5001,102,4001,所属
5001,103,4001,所属
5001,104,4001,所属
5001,105,4001,所属
5001,106,4001,所属
5001,107,4001,所属
5001,108,4001,所属
5001,109,4001,所属
5001,110,4001,所属
5001,111,4001,所属
5001,112,4001,所属
5001,113,4001,所属
5001,114,4001,所属
5001,115,4001,所属
5001,116,4001,所属
5001,117,4001,所属
5001,118,4001,所属
5001,119,4001,所属
5001,120,4001,所属
5001,121,4001,所属
5001,122,4001,所属
5001,123,4001,所属
5001,124,4001,所属
5001,125,4001,所属
5001,126,4001,所属
5001,127,4001,所属
5001,128,4001,所属
5001,129,4001,所属
5001,130,4001,所属
5001,131,4001,所属
5001,132,4001,所属
5001,133,4001,所属
5001,134,4001,所属
5001,135,4001,所属
5001,136,4001,所属
5001,137,4001,所属
5001,138,4001,所属
5001,139,4001,所属
5001,140,4001,所属
5001,141,4001,所属
5001,142,4001,所属
5001,143,4001,所属
